Bundesland; Altergruppe; Anzahl
Baden-Württemberg; 40 bis unter 50 Jahre; 1737851
Bayern; 40 bis unter 50 Jahre; 2089396
Saarland; 40 bis unter 50 Jahre; 164217
Berlin; 40 bis unter 50 Jahre; 539688
Brandenburg; 40 bis unter 50 Jahre; 425886
Mecklenburg-Vorpommern; 40 bis unter 50 Jahre; 260661
Sachsen; 40 bis unter 50 Jahre; 612645
Sachsen-Anhalt; 40 bis unter 50 Jahre; 367948
Thüringen; 40 bis unter 50 Jahre; 343833
Schleswig-Holstein; 50 bis unter 65 Jahre; 563018
Hamburg; 50 bis unter 65 Jahre; 301189
Niedersachsen; 50 bis unter 65 Jahre; 1569272
Bremen; 50 bis unter 65 Jahre; 126445
Nordrhein-Westfalen; 50 bis unter 65 Jahre; 3523514
Hessen; 50 bis unter 65 Jahre; 1204437
Rheinland-Pfalz; 50 bis unter 65 Jahre; 841740
Baden-Württemberg; 50 bis unter 65 Jahre; 2053733
Bayern; 50 bis unter 65 Jahre; 2459022
Saarland; 50 bis unter 65 Jahre; 224998
Berlin; 50 bis unter 65 Jahre; 624691
Brandenburg; 50 bis unter 65 Jahre; 562423
Mecklenburg-Vorpommern; 50 bis unter 65 Jahre; 375647
Sachsen; 50 bis unter 65 Jahre; 869980
Sachsen-Anhalt; 50 bis unter 65 Jahre; 524795
Thüringen; 50 bis unter 65 Jahre; 501369
Schleswig-Holstein; 65 bis unter 75 Jahre; 348405
Hamburg; 65 bis unter 75 Jahre; 178471
Niedersachsen; 65 bis unter 75 Jahre; 882074
Bremen; 65 bis unter 75 Jahre; 75264
Nordrhein-Westfalen; 65 bis unter 75 Jahre; 1903701
Hessen; 65 bis unter 75 Jahre; 640290
Rheinland-Pfalz; 65 bis unter 75 Jahre; 428491
Baden-Württemberg; 65 bis unter 75 Jahre; 1103595
Bayern; 65 bis unter 75 Jahre; 1322834
Saarland; 65 bis unter 75 Jahre; 116162
Berlin; 65 bis unter 75 Jahre; 376088
Brandenburg; 65 bis unter 75 Jahre; 318136
Mecklenburg-Vorpommern; 65 bis unter 75 Jahre; 199702
Sachsen; 65 bis unter 75 Jahre; 546748
Sachsen-Anhalt; 65 bis unter 75 Jahre; 310299
Thüringen; 65 bis unter 75 Jahre; 284269
Schleswig-Holstein; 75 Jahre und mehr; 258609
Hamburg; 75 Jahre und mehr; 145442
Niedersachsen; 75 Jahre und mehr; 733438
Bremen; 75 Jahre und mehr; 62552
Nordrhein-Westfalen; 75 Jahre und mehr; 1649281
Hessen; 75 Jahre und mehr; 539755
Rheinland-Pfalz; 75 Jahre und mehr; 383617
Baden-Württemberg; 75 Jahre und mehr; 932245
Bayern; 75 Jahre und mehr; 1092782
Saarland; 75 Jahre und mehr; 104295
Berlin; 75 Jahre und mehr; 258264
Brandenburg; 75 Jahre und mehr; 236981
Mecklenburg-Vorpommern; 75 Jahre und mehr; 156658
Sachsen; 75 Jahre und mehr; 459672
Sachsen-Anhalt; 75 Jahre und mehr; 245657
Thüringen; 75 Jahre und mehr; 224283
