06;Hessen;5971816;2913862;3057954;5307140;664676;151655;78019;73636;144253;7402;155265;80210;75055;147599;7666;518076;264978;253098;472908;45168;179927;91457;88470;158549;21378;475322;241379;233943;412547;62775;360154;178645;181509;298614;61540;735834;362051;373783;585271;150563;1011101;511159;499942;883216;127885;1204437;594948;609489;1085438;118999;640290;305387;334903;596246;44044;539755;205629;334126;522499;17256
07;Rheinland-Pfalz;3989808;1950352;2039456;3717802;272006;94158;48641;45517;90922;3236;97666;50442;47224;94201;3465;345175;177253;167922;325753;19422;127590;65631;61959;118427;9163;334394;169751;164643;307799;26595;227494;114749;112745;201799;25695;442153;219122;223031;381089;61064;667330;336223;331107;615161;52169;841740;420293;421447;793614;48126;428491;203196;225295;411989;16502;383617;145051;238566;377048;6569
08;Baden-Württemberg, Land;10486660;5132555;5354105;9355239;1131421;269228;138095;131133;259775;9453;279349;142779;136570;268972;10377;960161;493470;466691;883676;76485;343950;176760;167190;304669;39281;901992;461058;440934;788457;113535;645226;323892;321334;541452;103774;1259330;626092;633238;1007883;251447;1737851;878952;858899;1533660;204191;2053733;1014073;1039660;1843517;210216;1103595;521676;581919;1019956;83639;932245;355708;576537;903222;29023
09;Bayern;12397614;6062701;6334913;11379653;1017961;311369;159792;151577;301231;10138;319372;163937;155435;307841;11531;1090148;559735;530413;1023591;66557;390415;201177;189238;359824;30591;1033879;525372;508507;942219;91660;763312;380058;383254;669536;93776;1525085;761016;764069;1286276;238809;2089396;1057019;1032377;1895865;193531;2459022;1219132;1239890;2270798;188224;1322834;627148;695686;1253354;69480;1092782;408315;684467;1069118;23664
10;Saarland;999623;485050;514573;933397;66226;20530;10200;10330;19717;813;21277;10769;10508;20456;821;77352;39749;37603;72700;4652;29899;15378;14521;27691;2208;79645;41109;38536;73151;6494;56250;29367;26883;50047;6203;104998;51824;53174;91006;13992;164217;81940;82277;151924;12293;224998;111644;113354;212771;12227;116162;54093;62069;111771;4391;104295;38977;65318;102163;2132
11;Berlin;3292365;1599653;1692712;2918072;374293;94867;48501;46366;89466;5401;86753;44467;42286;81489;5264;239171;122315;116856;216270;22901;73592;37646;35946;62803;10789;271412;131625;139787;236325;35087;263554;129760;133794;223208;40346;464285;233279;231006;373436;90849;539688;276984;262704;467975;71713;624691;306935;317756;563723;60968;376088;175707;200381;353709;22379;258264;92434;165830;249668;8596
12;Brandenburg;2455780;1208327;1247453;2413079;42701;56941;29213;27728;56183;758;57519;29470;28049;56751;768;175361;90054;85307;172588;2773;46770;24240;22530;45547;1223;173154;91613;81541;168937;4217;136235;72452;63783;132005;4230;266374;137005;129369;255568;10806;425886;216030;209856;417252;8634;562423;282067;280356;555464;6959;318136;148502;169634;316544;1592;236981;87681;149300;236240;741
13;Mecklenburg-Vorpommern;1609982;793140;816841;1583154;26827;38662;19405;19257;38103;559;37488;18958;18530;36815;673;110261;56409;53852;108141;2120;28790;14829;13961;27978;812;126410;66738;59672;123510;2900;101601;54212;47389;98534;3067;174101;93037;81064;167616;6485;260661;133248;127413;255830;4831;375647;188063;187584;371791;3856;199702;91915;107787;198688;1014;156658;56326;100332;156148;510
14;Sachsen;4056799;1977567;2079232;3979538;77261;101955;52696;49259;100565;1390;97914;50586;47328;96514;1400;274180;140301;133879;269136;5044;68498;35027;33471;66463;2035;300899;155486;145413;292543;8356;259110;138113;120997;249291;9819;465198;246539;218659;445430;19768;612645;316300;296345;597940;14705;869980;429198;440782;858993;10987;546748;250364;296384;544282;2466;459672;162957;296715;458381;1291
15;Sachsen-Anhalt;2287040;1117016;1170024;2247873;39167;50776;25912;24864;49906;870;50157;25843;24314;49319;838;148729;76669;72060;145683;3046;40201;20330;19871;39056;1145;170299;88834;81465;164850;5449;135545;72754;62791;130900;4645;242634;130049;112585;233262;9372;367948;188136;179812;360847;7101;524795;260092;264703;519813;4982;310299;142426;167873;309207;1092;245657;85971;159686;245030;627
16;Thüringen;2188589;1076074;1112515;2155853;32736;51146;25814;25332;50499;647;49471;25394;24077;48816;655;147422;75898;71524;145105;2317;38948;20285;18663;37992;956;165705;86743;78962;161707;3998;137864;74552;63312;133486;4378;244279;130777;113502;235890;8389;343833;176183;167650;337835;5998;501369;249727;251642;497095;4274;284269;131244;153025;283497;772;224283;79457;144826;223931;352
__________
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2020.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 21.03.2020 / 18:11:03
